File Name,File Path,Purpose,Description,Category,Dependencies
GameStateController.cs,/Assets/GameStateController.cs,Controls overall game state,Manages game state transitions between menu, gameplay, day start/end and pauses. Controls audio muting and ensures proper initialization sequence.,Core System,GameManager.cs; MasterShipGenerator.cs; CredentialChecker.cs
ShipTimingController.cs,/Assets/ShipTimingController.cs,Controls ship timing,Manages timing between ship appearances and encounter durations. Controls cooldown periods and holding pattern timing.,Core System,MasterShipGenerator.cs; GameManager.cs
CredentialChecker.cs,/Assets/_scripts/CredentialChecker.cs,Main gameplay UI controller,Handles displaying ship encounters and processing player decisions (approve/deny/bribe/tractor beam/etc). Central point for main gameplay interaction.,Core System,MasterShipGenerator.cs; GameManager.cs; StarkkillerContentManager.cs
GameManager.cs,/Assets/_scripts/GameManager.cs,Core game manager,Central manager for game progress including day counting, credits, ships processed, and game state.,Core System,Various dependent systems
MasterShipGenerator.cs,/Assets/MasterShipGenerator.cs,Main ship generator,Creates and manages ship encounters. Primary source of ship data during gameplay.,Ship System,ShipTimingController.cs; CredentialChecker.cs
UIManager.cs,/Assets/_scripts/UIManager.cs,UI panel manager,Controls visibility of menu panels and handles button click events for navigation.,Core System,GameManager.cs
MainMenuManager.cs,/Assets/Scripts/MainMenuManager.cs,Main menu controller,Handles the main menu interactions and navigation.,Core System,UIManager.cs
EncounterMediaTransitionManager.cs,/Assets/Scripts/EncounterMediaTransitionManager.cs,Manages media transitions,Handles transitions between videos and images for ships and captains with smooth fading.,Ship System,StarkkillerMediaSystem.cs; MasterShipGenerator.cs
VideoTransitionManager.cs,/Assets/Scripts/VideoTransitionManager.cs,Video transition handler,Manages smooth transitions between videos to prevent jarring cuts.,Ship System,None
ShipEncounterSystem.cs,/Assets/Assets/ShipEncounterSystem.cs,Legacy ship system bridge,Bridge class to forward calls to MasterShipGenerator. Part of the migration strategy.,Ship System,MasterShipGenerator.cs
StarkkillerEncounterSystem.cs,/Assets/Assets/StarkkillerEncounterSystem.cs,Starkiller-specific encounter bridge,Bridge for Starkiller-specific content to connect with MasterShipGenerator.,Ship System,MasterShipGenerator.cs; StarkkillerContentManager.cs
ShipEncounterGenerator.cs,/Assets/Assets/ShipEncounterGenerator.cs,Legacy ship generator,Original ship generator system being replaced by MasterShipGenerator.,Ship System,MasterShipGenerator.cs
GameManagerConnector.cs,/Assets/Scripts/GameManagerConnector.cs,GameManager connection bridge,Connects GameManager to MasterShipGenerator for ship encounter generation.,Core System,GameManager.cs; MasterShipGenerator.cs; CredentialChecker.cs
EncounterSystemCoordinator.cs,/Assets/Scripts/EncounterSystemCoordinator.cs,Coordinates encounter systems,Manages coordination between different encounter generation systems.,Ship System,MasterShipGenerator.cs; ShipEncounterSystem.cs
MasterShipEncounter.cs,/Assets/MasterShipEncounter.cs,Ship encounter data class,Central data structure that contains all information about a ship encounter.,Ship System,None
MasterShipEncounterExtensions.cs,/Assets/MasterShipEncounterExtensions.cs,Ship encounter extensions,Extension methods for MasterShipEncounter class.,Ship System,MasterShipEncounter.cs
ShipEncounter.cs,/Assets/_scripts/ShipEncounter.cs,Legacy ship encounter data,Original ship encounter data structure.,Ship System,None
EnhancedShipEncounter.cs,/Assets/_scripts/EnhancedShipEncounter.cs,Enhanced ship encounter,Enhanced version of the ship encounter with additional data.,Ship System,ShipEncounter.cs
VideoEnhancedShipEncounter.cs,/Assets/_scripts/VideoEnhancedShipEncounter.cs,Video-enhanced ship encounter,Version of ship encounter with video capabilities.,Ship System,EnhancedShipEncounter.cs
EncounterSystemManager.cs,/Assets/EncounterSystemManager.cs,Manages encounter systems,Manages and coordinates multiple encounter systems.,Ship System,MasterShipGenerator.cs; ShipEncounterSystem.cs
EncounterSystemMigrationManager.cs,/Assets/EncounterSystemMigrationManager.cs,Migration manager for encounters,Handles migration between different encounter systems.,Ship System,EncounterSystemManager.cs
ShipCategory.cs,/Assets/ShipCategory.cs,Ship category data,Defines ship categories and their properties.,Ship System,None
ShipScenario.cs,/Assets/ShipScenario.cs,Ship scenario definition,Defines scenarios for ships including storylines and conditions.,Ship System,None
ShipType.cs,/Assets/_scripts/ShipType.cs,Ship type data,Defines types of ships with their specifications.,Ship System,None
HoldingPatternEntry.cs,/Assets/HoldingPatternEntry.cs,Holding pattern data,Data structure for ships in holding pattern.,Ship System,MasterShipEncounter.cs
HoldingPatternProcessor.cs,/Assets/Scripts/HoldingPatternProcessor.cs,Processes holding pattern ships,Handles the processing of ships placed in the holding pattern.,Ship System,ShipTimingController.cs; MasterShipGenerator.cs
